,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1-Score,F1-Score,ROC-AUC,ROC-AUC,Training Time (s),Training Time (s)
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,Variant,,,,,,,,,,,,
Twitter,baseline_tcn_model_fine_tune_sb_pool_no_early_stop_adam,0.9389184614718366,0.004349739446911741,0.937035023226227,0.01291867006134505,0.9229637046307886,0.013839005273694934,0.9298133696809401,0.005101665871021614,0.9777362707099575,0.004578048528272868,636.5973951339722,0.4251975819473939
Twitter,tcn_model_fine_tune_mb_pool,0.9424278348779245,0.012210375728811552,0.9325879487575419,0.03909267269476396,0.9389730913642053,0.032607758108573866,0.9347630108336906,0.012534152516456587,0.9878356840137801,0.0022034490730732403,606.1982055187225,56.63072320970283
Twitter,tcn_model_fine_tune_mb_seqOut,0.9340949827256017,0.010432580601988246,0.9536811209752989,0.03830529819858718,0.8961902377972466,0.055821156703544456,0.9221539706107851,0.015240209193503202,0.9865747525668042,0.0032438006611237168,668.9521644592285,72.45561385359206
Twitter,tcn_model_fine_tune_sb_pool,0.9338724966557919,0.009488932643757926,0.9292620513151336,0.03315784617011274,0.9209533792240301,0.026935546200604964,0.9243769937723828,0.009730752990207005,0.983110490360235,0.0027321043257744807,239.06509485244752,16.167475048751164
Twitter,tcn_model_fine_tune_sb_seqOut,0.936506361212961,0.004952876135431082,0.9264256248579128,0.012663276334906937,0.929212140175219,0.012359374582884825,0.927708143858832,0.005519770674067087,0.9825994258615,0.0037968604442877507,247.08153581619263,23.043541283651106
Twitter,tcn_model_mb_precompute_pool,0.9391375792745716,0.0067982889492064665,0.9309915253323016,0.0161425066597854,0.9304633917396746,0.011007050023998799,0.9306112898403207,0.007395715231330125,0.9851640102868915,0.00300740992967043,54.749360752105716,4.966080769853346
Twitter,tcn_model_mb_precompute_seqOut,0.9345310530165237,0.008867221300872608,0.9269874352803443,0.02666120824809836,0.9244558823529412,0.01884492613366612,0.9253411112059652,0.009336875508389126,0.9844877870439112,0.0036263837690778135,68.39749937057495,5.6059784025977075
Twitter,tcn_model_sb_precompute_pool,0.9044841258384579,0.010525491721452803,0.8964199022549828,0.03037425561637323,0.8859502503128912,0.023546486729883645,0.8905967833910327,0.01074192382498784,0.9670034764644235,0.00448618619772585,58.829479169845584,8.465581220473261
Twitter,tcn_model_sb_precompute_seqOut,0.9229077046703429,0.007928636563525725,0.9237296706327058,0.018016280931293732,0.8987021276595744,0.007915299572811774,0.9109432501490812,0.00849497704166998,0.9768447778663878,0.004229528262630832,79.44321904182434,3.7737637151886854
