Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9424342105263158,0.9590488771466315,0.9075,0.9325626204238922,0.9829296875,615.1732938289642,baseline_tcn_model_fine_tune_sb_pool_no_early_stop,Twitter
2,0.9358552631578947,0.9328263624841572,0.92,0.9263687853996224,0.978028564453125,612.3340740203857,baseline_tcn_model_fine_tune_sb_pool_no_early_stop,Twitter
3,0.9265350877192983,0.926923076923077,0.90375,0.9151898734177215,0.971072998046875,610.0440094470978,baseline_tcn_model_fine_tune_sb_pool_no_early_stop,Twitter
4,0.9495614035087719,0.9694555112881806,0.9136420525657072,0.9407216494845361,0.9877010897768552,610.2432017326355,baseline_tcn_model_fine_tune_sb_pool_no_early_stop,Twitter
5,0.9281404278661547,0.9053398058252428,0.9336670838548186,0.9192852741836106,0.9825587648623278,614.5506029129028,baseline_tcn_model_fine_tune_sb_pool_no_early_stop,Twitter
1,0.9446271929824561,0.9629139072847682,0.90875,0.935048231511254,0.9842431640625,340.93713641166687,tcn_model_fine_tune_sb_pool,Twitter
2,0.9199561403508771,0.9007352941176471,0.91875,0.9096534653465347,0.97539794921875,321.7838201522827,tcn_model_fine_tune_sb_pool,Twitter
3,0.924890350877193,0.9333333333333333,0.8925,0.9124600638977636,0.9756579589843749,325.2481803894043,tcn_model_fine_tune_sb_pool,Twitter
4,0.9391447368421053,0.9267990074441688,0.934918648310388,0.930841121495327,0.9867743215604872,382.97280287742615,tcn_model_fine_tune_sb_pool,Twitter
5,0.9308831596269885,0.9286624203821656,0.9123904881101377,0.9204545454545454,0.9779203985450563,381.0250451564789,tcn_model_fine_tune_sb_pool,Twitter
1,0.9402412280701754,0.9528178243774574,0.90875,0.9302623160588611,0.9852331542968751,414.3603060245514,tcn_model_fine_tune_sb_seqOut,Twitter
2,0.9292763157894737,0.9136868064118372,0.92625,0.9199255121042831,0.97943115234375,397.0658142566681,tcn_model_fine_tune_sb_seqOut,Twitter
3,0.9347587719298246,0.9462647444298821,0.9025,0.9238643634037108,0.9792883300781251,478.9809286594391,tcn_model_fine_tune_sb_seqOut,Twitter
4,0.9495614035087719,0.9707057256990679,0.9123904881101377,0.9406451612903226,0.98837021887115,480.56480884552,tcn_model_fine_tune_sb_seqOut,Twitter
5,0.9347229840921558,0.9347826086956522,0.9148936170212766,0.9247311827956989,0.979813634230288,439.86597084999084,tcn_model_fine_tune_sb_seqOut,Twitter
1,0.9544956140350878,0.9442379182156134,0.9525,0.9483509645301804,0.9887072753906251,966.2654576301575,tcn_model_fine_tune_mb_pool,Twitter
2,0.9473684210526315,0.9303178484107579,0.95125,0.9406674907292955,0.9872412109375,1028.8910360336304,tcn_model_fine_tune_mb_pool,Twitter
3,0.9446271929824561,0.9452229299363057,0.9275,0.9362776025236593,0.98423095703125,1031.8996119499207,tcn_model_fine_tune_mb_pool,Twitter
4,0.9572368421052632,0.9569074778200254,0.9449311639549437,0.9508816120906801,0.9907182758936475,969.6593885421753,tcn_model_fine_tune_mb_pool,Twitter
5,0.9374657158529895,0.9181929181929182,0.9411764705882353,0.9295426452410384,0.9846878911138923,847.1898081302643,tcn_model_fine_tune_mb_pool,Twitter
1,0.9484649122807017,0.9423558897243107,0.94,0.9411764705882353,0.9868212890625,1050.7602708339691,tcn_model_fine_tune_mb_seqOut,Twitter
2,0.9512061403508771,0.9505703422053232,0.9375,0.9439899307740718,0.987742919921875,1116.426561832428,tcn_model_fine_tune_mb_seqOut,Twitter
3,0.9336622807017544,0.9259723964868256,0.9225,0.9242329367564183,0.9839245605468749,928.8874378204346,tcn_model_fine_tune_mb_seqOut,Twitter
4,0.9479166666666666,0.9313725490196079,0.951188986232791,0.9411764705882353,0.9901944503800483,1180.8649690151215,tcn_model_fine_tune_mb_seqOut,Twitter
5,0.9363686231486561,0.9041420118343195,0.9561952440550688,0.9294403892944039,0.9856864537703379,1430.93208694458,tcn_model_fine_tune_mb_seqOut,Twitter
1,0.8974780701754386,0.9081225033288948,0.8525,0.8794326241134752,0.966142578125,64.18672800064087,tcn_model_sb_precompute_pool,Twitter
2,0.899671052631579,0.9075297225891678,0.85875,0.882466281310212,0.9571960449218749,63.84442114830017,tcn_model_sb_precompute_pool,Twitter
3,0.8974780701754386,0.8884664131812421,0.87625,0.8823159219634991,0.96091796875,66.15358591079712,tcn_model_sb_precompute_pool,Twitter
4,0.9078947368421053,0.9102730819245773,0.8760951188986232,0.8928571428571429,0.9647162611801336,49.447752475738525,tcn_model_sb_precompute_pool,Twitter
5,0.8754799780581459,0.8479318734793188,0.8723404255319149,0.8599629858112277,0.952458884152065,48.69882392883301,tcn_model_sb_precompute_pool,Twitter
1,0.9216008771929824,0.9493844049247606,0.8675,0.9065969954278249,0.976146240234375,111.8160150051117,tcn_model_sb_precompute_seqOut,Twitter
2,0.9161184210526315,0.9273447820343461,0.8775,0.9017341040462428,0.9700256347656251,112.42813038825989,tcn_model_sb_precompute_seqOut,Twitter
3,0.9161184210526315,0.9250985545335085,0.88,0.9019859064702114,0.9712060546875,110.56834864616394,tcn_model_sb_precompute_seqOut,Twitter
4,0.9331140350877193,0.9312101910828026,0.9148936170212766,0.922979797979798,0.9784468390366006,112.44107365608215,tcn_model_sb_precompute_seqOut,Twitter
5,0.9155238617663193,0.8976572133168927,0.9111389236545682,0.9043478260869565,0.972734472778473,111.26192808151245,tcn_model_sb_precompute_seqOut,Twitter
1,0.9298245614035088,0.9577656675749319,0.87875,0.9165580182529335,0.98249267578125,68.23295617103577,tcn_model_mb_precompute_pool,Twitter
2,0.9407894736842105,0.9481865284974094,0.915,0.9312977099236641,0.9805432128906251,67.26909303665161,tcn_model_mb_precompute_pool,Twitter
3,0.9265350877192983,0.9302325581395349,0.9,0.9148665819567979,0.977196044921875,68.65818643569946,tcn_model_mb_precompute_pool,Twitter
4,0.8980263157894737,0.8494868871151653,0.932415519399249,0.8890214797136038,0.9747873866723649,42.31859254837036,tcn_model_mb_precompute_pool,Twitter
5,0.9226549643444871,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.9775109511889862,66.48072457313538,tcn_model_mb_precompute_pool,Twitter
1,0.9353070175438597,0.9595687331536388,0.89,0.9234760051880675,0.9838439941406251,123.38090062141418,tcn_model_mb_precompute_seqOut,Twitter
2,0.9413377192982456,0.9470967741935484,0.9175,0.932063492063492,0.984571533203125,123.77080512046814,tcn_model_mb_precompute_seqOut,Twitter
3,0.9172149122807017,0.9112801013941698,0.89875,0.9049716803020768,0.97072265625,125.23302626609802,tcn_model_mb_precompute_seqOut,Twitter
4,0.9495614035087719,0.9446540880503145,0.9399249061326659,0.9422835633626098,0.9878720351659086,125.35075449943542,tcn_model_mb_precompute_seqOut,Twitter
5,0.9303346132748217,0.9274809160305344,0.9123904881101377,0.9198738170347003,0.9819769829474343,124.71077799797058,tcn_model_mb_precompute_seqOut,Twitter
