,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1-Score,F1-Score,ROC-AUC,ROC-AUC,Training Time (s),Training Time (s)
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,Variant,,,,,,,,,,,,
Twitter,baseline_tcn_model_fine_tune_sb_pool_no_early_stop,0.9365052785556871,0.009687783357048953,0.9387187267334578,0.025720004920674923,0.9157118272841052,0.011785404643722958,0.9268256405818767,0.010228256458294394,0.9804582209278365,0.006264288070335018,612.4690363883972,2.371668079770103
Twitter,tcn_model_fine_tune_mb_pool,0.9482387572056856,0.007905268660652286,0.938975818515124,0.014959527832826537,0.9434715269086358,0.0100561606193493,0.9411440630229707,0.008735870658870604,0.987117122073383,0.00272687578378253,968.7810604572296,74.81425844479632
Twitter,tcn_model_fine_tune_mb_seqOut,0.9435237246297312,0.007924271890899537,0.9308826378540773,0.017738748365254003,0.941476846057572,0.013125109252231013,0.936003239600273,0.008644693557156356,0.9868739347363272,0.0023394791147745325,1141.5742652893066,186.67283111718328
Twitter,tcn_model_fine_tune_sb_pool,0.9319003161359241,0.01009074552636386,0.9304887925124167,0.022145542983959612,0.9134618272841051,0.015420013183332866,0.9216914855410849,0.011110598516120302,0.9799987584742336,0.0052022302896262695,350.39339699745176,29.74863957486992
Twitter,tcn_model_fine_tune_sb_seqOut,0.9377121406780804,0.007674990199948953,0.9436515419227793,0.02120920656231166,0.9129568210262828,0.008772442192005273,0.9278857071305753,0.008030237768245524,0.9824272979640376,0.004148866855799117,442.16756572723386,37.55755911373599
Twitter,tcn_model_mb_precompute_pool,0.9235660805881956,0.015793500039443582,0.914912106043186,0.04509988437039755,0.9134683979974969,0.025079081945577678,0.9132059008265427,0.015226295767010727,0.9785060542910202,0.003023987832947896,62.59191055297852,11.364719883648705
Twitter,tcn_model_mb_precompute_seqOut,0.9347511331812802,0.012145584823632139,0.9380161225644411,0.01882047586898187,0.9117130788485607,0.019166075137770376,0.9245337115901894,0.013939702831637852,0.9817974403414185,0.00654728482195198,124.48925290107726,0.8787874003901764
Twitter,tcn_model_sb_precompute_pool,0.8956003815765415,0.012037478981561505,0.8924647189006402,0.02640274186933269,0.8671871088861076,0.010896573818931768,0.8794069912111114,0.01200830667049147,0.9602863474258146,0.005593247496707688,58.46626229286194,8.623798996262074
Twitter,tcn_model_sb_precompute_seqOut,0.9204951232304568,0.0074746925143878255,0.9261390291784621,0.018572926794498793,0.890206508135169,0.021382428730304468,0.9075289260022068,0.008860338074356858,0.9737118483005147,0.0035060246763741593,111.70309915542603,0.8008303934108184
