Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Training Time (s),Variant,Dataset
1,0.9468201754385965,0.9512195121951219,0.92625,0.9385687143761875,0.9843115234375,613.9518558979034,OP (base),Twitter
2,0.9287280701754386,0.9678770949720671,0.86625,0.9142480211081794,0.973311767578125,607.8545701503754,OP (base),Twitter
3,0.9259868421052632,0.9301423027166882,0.89875,0.9141767323585506,0.976630859375,613.2751607894897,OP (base),Twitter
4,0.950109649122807,0.9585492227979274,0.9261576971214017,0.9420751113940166,0.9873958301535455,610.3319699764252,OP (base),Twitter
5,0.9314317059791553,0.9309462915601023,0.9111389236545682,0.9209361163820367,0.9809930870619524,615.1336431503296,OP (base),Twitter
1,0.9407894736842105,0.9613333333333334,0.90125,0.9303225806451613,0.983563232421875,633.4953064918518,OP (full bert output),Twitter
2,0.9353070175438597,0.9498680738786279,0.9,0.9242618741976893,0.9780175781250001,637.2907919883728,OP (full bert output),Twitter
3,0.9314692982456141,0.9434954007884363,0.8975,0.9199231262011531,0.9765155029296874,636.290876865387,OP (full bert output),Twitter
4,0.9429824561403509,0.9530638852672751,0.9148936170212766,0.933588761174968,0.9853811166397021,633.8005414009094,OP (full bert output),Twitter
5,0.931980252331322,0.9377431906614786,0.904881101376721,0.9210191082802548,0.9775060622653317,636.5477619171143,OP (full bert output),Twitter
1,0.9210526315789473,0.9659090909090909,0.85,0.9042553191489362,0.978670654296875,107.67587327957153,OP (full bert output) Pre,Twitter
2,0.9139254385964912,0.9338731443994602,0.865,0.8981181051265412,0.96871826171875,107.4969413280487,OP (full bert output) Pre,Twitter
3,0.9161184210526315,0.9152759948652118,0.89125,0.9031032298923369,0.97318603515625,107.8765037059784,OP (full bert output) Pre,Twitter
4,0.9342105263157895,0.940337224383917,0.9073842302878599,0.9235668789808917,0.9774809975884491,107.56790065765381,OP (full bert output) Pre,Twitter
5,0.9133296763576523,0.8951911220715166,0.9086357947434293,0.901863354037267,0.9730278081977473,107.43718218803406,OP (full bert output) Pre,Twitter
1,0.9394977168949772,0.9285714285714286,0.9379746835443038,0.9332493702770781,0.9862483223242717,587.6484203338623,NPDN (base),Twitter
2,0.940068493150685,0.9340937896070975,0.9329113924050633,0.9335022165927802,0.987643095870944,591.7376112937927,NPDN (base),Twitter
3,0.9355022831050228,0.9412532637075718,0.9138149556400507,0.9273311897106109,0.9798962104850311,589.9720265865326,NPDN (base),Twitter
4,0.9412100456621004,0.9549071618037135,0.9125475285171103,0.933246921581335,0.9825968963170911,589.8921113014221,NPDN (base),Twitter
5,0.9320776255707762,0.962707182320442,0.8833967046894804,0.9213483146067416,0.9753680868957513,587.193825006485,NPDN (base),Twitter
1,0.9406392694063926,0.9513157894736842,0.9151898734177215,0.9329032258064516,0.9827541514250375,614.8806610107422,NPDN (full bert output),Twitter
2,0.932648401826484,0.8990498812351544,0.9582278481012658,0.9276960784313726,0.9859417353088238,616.1458353996277,NPDN (full bert output),Twitter
3,0.9275114155251142,0.9321148825065274,0.9049429657794676,0.9183279742765273,0.9657781515569085,614.2589848041534,NPDN (full bert output),Twitter
4,0.9377853881278538,0.9336734693877551,0.9277566539923955,0.9307056579783852,0.9837695625336434,614.3452351093292,NPDN (full bert output),Twitter
5,0.9332191780821918,0.9421052631578948,0.9074778200253485,0.9244673983214977,0.9772211890651179,614.4803488254547,NPDN (full bert output),Twitter
1,0.9092465753424658,0.8968553459119497,0.9025316455696203,0.8996845425867508,0.9748480223163766,105.16824507713318,NPDN (full bert output) Pre,Twitter
2,0.9058219178082192,0.8571428571428571,0.9493670886075949,0.9009009009009009,0.9786954919866312,105.18807578086853,NPDN (full bert output) Pre,Twitter
3,0.91324200913242,0.9429763560500696,0.8593155893536122,0.8992042440318302,0.9693895949892539,105.37723922729492,NPDN (full bert output) Pre,Twitter
4,0.894406392694064,0.8621103117505995,0.9112801013941698,0.8860135551447936,0.969126370249287,105.37932014465332,NPDN (full bert output) Pre,Twitter
5,0.9121004566210046,0.9194187582562747,0.8821292775665399,0.9003880983182406,0.9676911373546176,105.17388916015625,NPDN (full bert output) Pre,Twitter
1,0.9350947731188972,0.9202988792029888,0.9378172588832487,0.928975487115022,0.9839792586595363,575.894917011261,NP (base),Twitter
2,0.9339460080413555,0.9375812743823146,0.9149746192893401,0.9261400128452152,0.9777852200638113,577.4358463287354,NP (base),Twitter
3,0.9345203905801264,0.9616438356164384,0.8908629441624365,0.924901185770751,0.9774583069228351,576.3784041404724,NP (base),Twitter
4,0.9282021826536473,0.927741935483871,0.9124365482233503,0.9200255918106206,0.981088307828338,577.6446299552917,NP (base),Twitter
5,0.9235632183908046,0.9269882659713168,0.9022842639593909,0.9144694533762058,0.9717506291856844,574.3429598808289,NP (base),Twitter
1,0.9379666858127513,0.9545454545454546,0.9060913705583756,0.9296875,0.983140336953569,595.9803903102875,NP (full bert output),Twitter
2,0.9316484778862723,0.9502018842530283,0.8959390862944162,0.922273024167211,0.9779716471095818,602.4432322978973,NP (full bert output),Twitter
3,0.9299253302699598,0.9313471502590673,0.9124365482233503,0.9217948717948717,0.9771313937818591,600.3864009380341,NP (full bert output),Twitter
4,0.9247558874210224,0.9216944801026957,0.9111675126903553,0.9164007657945118,0.9789004532840455,601.3742663860321,NP (full bert output),Twitter
5,0.924712643678161,0.9397590361445783,0.8908629441624365,0.9146579804560261,0.971178763383526,598.1707942485809,NP (full bert output),Twitter
1,0.925904652498564,0.9660537482319661,0.866751269035533,0.9137123745819398,0.9789084430145785,105.89627838134766,NP (full bert output) Pre,Twitter
