,,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1-Score,F1-Score,ROC-AUC,ROC-AUC,Training Time (s),Training Time (s)
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Dataset,Variant,,,,,,,,,,,,
Twitter,NP (base),0.9310653145569662,0.005023730007705387,0.9348508381313859,0.016197500137616245,0.9116751269035532,0.01743712085006868,0.9229023461835629,0.005717304493886668,0.9784123445320411,0.004578024592560386,576.3393514633178,1.3314164802849437
Twitter,NP (full bert output),0.9298018050136333,0.0055102537396471835,0.9395096010609649,0.013457973153287442,0.9032994923857867,0.009513535438574309,0.9209628284425241,0.005896870494174031,0.9776645189025164,0.004299874762875163,599.6710168361664,2.5966037421218817
Twitter,NP (full bert output) Pre,0.90360573590287,0.013895151177238364,0.9580281228505301,0.00601338969693882,0.8230964467005076,0.029729036475830133,0.8852394792057738,0.018135941832400807,0.9689956844936429,0.006215669614518435,105.70762882232665,0.22448794033214645
Twitter,NPDN (base),0.9376712328767123,0.0037946963786746222,0.9443065652020508,0.014249327342038116,0.9161290529592018,0.021496903730066533,0.9297356025537091,0.00536169531193927,0.9823505223786178,0.00495083151725465,589.288798904419,1.8646196341412853
Twitter,NPDN (full bert output),0.9343607305936074,0.005057090509894214,0.9316518571522032,0.01976824520328706,0.9227190322632397,0.021744108155669965,0.9268200669628468,0.005712283323649486,0.9790929579779062,0.008108148793776429,614.8222130298615,0.77733478138101
Twitter,NPDN (full bert output) Pre,0.9069634703196346,0.007582951059124644,0.8957007258223502,0.03678956570188332,0.9009247404983075,0.033693722038885446,0.8972382681965032,0.006308324076048616,0.9719501233792333,0.004652060436844311,105.25735387802123,0.1106282733252807
Twitter,NPSN (base),0.9186324715381431,0.02030120162552015,0.9222760573830078,0.044455056522195,0.8942140175219023,0.07729159601344751,0.9048715426964309,0.029394881562760548,0.9777536895462232,0.005729494964663992,601.2928772449493,2.383723307330195
Twitter,NPSN (full bert output),0.9315696846339657,0.012166047983007725,0.9261599084485409,0.025159152072590715,0.9177102628285356,0.008974309157149515,0.921748403018421,0.012902921290967807,0.9795011199473272,0.0035391704817637456,626.3683835983277,2.6505479625726864
Twitter,NPSN (full bert output) Pre,0.9096384766771564,0.009758065820832777,0.9100819848180866,0.020687809091588058,0.8816999374217772,0.027285138325315293,0.8952659376344287,0.012075455323852029,0.9692077799074241,0.0038527565807694496,110.43805737495423,0.12517827287243075
Twitter,OP (base),0.936615288564252,0.011048519125468838,0.9477468848483813,0.016779125814229495,0.9057093241551939,0.024874717723684246,0.9260009391237942,0.013415693849759297,0.9805286135212246,0.005678031351858658,612.1094399929046,2.9648997924175804
Twitter,OP (full bert output),0.9365056995890715,0.005186061751061448,0.9491007767858303,0.009032516482082956,0.9037049436795994,0.006797507636650107,0.9258230900998454,0.0059345655451000946,0.9801966984763192,0.003992212164870059,635.485055732727,1.7201792154302062
Twitter,OP (full bert output) Pre,0.9197273387803024,0.008647767624832768,0.9301173153258393,0.026644454211152527,0.8844540050062578,0.02608771984127549,0.9061813774371947,0.009988769233514836,0.9742167513916143,0.003974981285544705,107.6108802318573,0.1730464202773205
